City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
99,Bambanglipuro,ID,-7.95,110.2833,56.61,85,100,6.71,overcast clouds
100,Thatcham,GB,51.4037,-1.2605,70.97,76,33,7.63,scattered clouds
101,College,US,64.8569,-147.8028,63.21,82,90,5.75,light rain
102,Sharjah,AE,25.3573,55.4033,101.25,51,0,9.22,clear sky
103,Tura,IN,25.5198,90.2201,73.27,96,99,3.65,overcast clouds
104,Jamestown,US,42.097,-79.2353,80.29,64,1,17.27,clear sky
105,Hirara,JP,24.8,125.2833,84.0,78,86,13.69,overcast clouds
106,Hobart,AU,-42.8794,147.3294,48.11,95,75,1.99,broken clouds
107,Sassenberg,DE,52.0,8.05,64.18,96,33,6.15,scattered clouds
108,Chumikan,RU,54.7183,135.315,59.25,74,100,4.18,overcast clouds
109,Ferrol,ES,43.4832,-8.2369,64.92,84,83,11.03,broken clouds
110,Robertsport,LR,6.7533,-11.3686,78.03,81,43,10.78,light rain
111,Clyde River,CA,70.4692,-68.5914,47.52,63,10,6.58,clear sky
112,Ahipara,NZ,-35.1667,173.1667,50.11,72,11,2.93,few clouds
113,Lorengau,PG,-2.0226,147.2712,81.45,80,87,8.86,overcast clouds
114,Margate,GB,51.3813,1.3862,68.95,80,2,5.01,clear sky
115,Manta,EC,-0.95,-80.7333,76.78,78,90,2.3,overcast clouds
116,Mazara Del Vallo,IT,37.6641,12.588,75.15,61,0,14.0,clear sky
117,Moctezuma,MX,29.8,-109.6667,94.87,34,57,2.82,broken clouds
118,Georgetown,MY,5.4112,100.3354,80.89,65,40,1.01,scattered clouds
119,Sena Madureira,BR,-9.0656,-68.6569,95.27,30,23,1.68,few clouds
120,Portland,US,45.5234,-122.6762,83.86,53,1,1.99,clear sky
121,Juan Lacaze,UY,-34.4342,-57.4381,54.12,93,100,17.96,moderate rain
122,Lebu,CL,-37.6167,-73.65,52.36,72,19,5.46,few clouds
123,Fortuna,US,40.5982,-124.1573,93.47,88,90,11.5,overcast clouds
124,Waycross,US,31.2136,-82.354,91.98,49,40,0.0,scattered clouds
125,Belaya Gora,RU,68.5333,146.4167,45.12,75,100,23.02,overcast clouds
126,Zlynka,RU,52.4267,31.7378,80.38,78,29,7.16,scattered clouds
127,Berlevag,NO,70.8578,29.0864,51.75,71,75,12.66,broken clouds
