City_ID,City,Country,Max Temp,Description,Lat,Lng,Hotel Name
582,Road Town,VG,82.44,broken clouds,18.4167,-64.6167,"ZINGARA 76ft Catamaran, full crew-all included"
588,Burila Mare,RO,75.79,clear sky,44.4528,22.5736,
594,Akyab,MM,81.68,scattered clouds,20.15,92.9,Hotel Memory
595,Aquiraz,BR,80.69,broken clouds,-3.9014,-38.3911,Pousada Rua Camurupim
597,Porto Novo,BJ,78.62,broken clouds,6.4965,2.6036,Tour Eiffel Hotel Benin
598,Yaviza,PA,83.37,overcast clouds,8.1537,-77.6931,
599,Zhanaozen,KZ,78.94,overcast clouds,43.3,52.8,K.korabay 28A
600,Alofi,NU,80.49,broken clouds,-19.0595,-169.9187,Taloa Heights
601,Cururupu,BR,78.62,scattered clouds,-1.8283,-44.8683,POUSADA TRAVÉS'CIA
602,Caraballeda,VE,89.37,broken clouds,10.6112,-66.8522,Hotel 15 Letras
605,Kralendijk,BQ,84.18,broken clouds,12.15,-68.2667,Divi Flamingo Beach Resort & Casino
607,Minab,IR,89.1,overcast clouds,27.1467,57.0801,Bam campground
613,Laibin,CN,77.68,broken clouds,23.7,109.2667,GreenTree Alliance Laibin Railway Station Hotel
614,Utuado,PR,83.17,overcast clouds,18.2655,-66.7004,Comite Jorgito Perez
617,Ko Samui,TH,80.44,moderate rain,9.5357,99.9357,The Passage
620,Cockburn Town,TC,84.16,scattered clouds,21.4612,-71.1419,Osprey Beach Hotel
622,Mabay,PH,78.1,overcast clouds,6.0577,124.4666,Bautista Lodging House
623,Shelburne,CA,83.05,clear sky,44.0787,-80.2041,The Retreat at the Farm
626,Kirakira,SB,81.75,broken clouds,-10.4544,161.9205,SanBiz Lodge
628,Camocim,BR,81.21,scattered clouds,-2.9022,-40.8411,Hotel Ilha do Amor
630,Burns Lake,CA,77.92,broken clouds,54.2331,-125.7533,Burns Lake Bed and Breakfast
632,Dubrovnik,HR,76.64,few clouds,42.6481,18.0922,Hotel Dubrovnik Palace
636,Fort Nelson,CA,79.88,scattered clouds,58.8053,-122.7002,The Fort Nelson Hotel
638,Hamilton,US,88.25,scattered clouds,39.1834,-84.5333,Six Acres Bed & Breakfast
639,Muncar,ID,75.6,overcast clouds,-8.4333,114.3333,Zaky Homestay
642,Micheweni,TZ,75.34,few clouds,-4.9667,39.8333,
648,Kayes,ML,89.01,overcast clouds,14.0,-11.0,
650,Oriximina,BR,86.49,overcast clouds,-1.7656,-55.8661,Pousada Tia Amélia
652,Sinnamary,GF,80.37,broken clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
655,Kattivakkam,IN,78.89,overcast clouds,13.2167,80.3167,Euronova Freezer
659,Beruwala,LK,78.6,overcast clouds,6.4788,79.9828,The Palms Hotel
660,Gallup,US,77.76,broken clouds,35.5281,-108.7426,El Capitan Motel
666,Guaruja,BR,82.47,clear sky,-23.9931,-46.2564,Charme Hotel Guarujá
667,Korcula,HR,81.16,broken clouds,42.9622,17.1369,Marko Polo Hotel by Aminess
668,Bongandanga,CD,79.47,overcast clouds,1.5,21.05,
672,Praia,CV,79.34,few clouds,14.9215,-23.5087,LT Aparthotel
677,Madhoganj,IN,88.29,overcast clouds,27.1167,80.15,Balaji Guest House
682,Benjamin Aceval,PY,82.6,broken clouds,-24.9667,-57.5667,Escuela Agrícola y Hotel Cerrito
684,Stettler,CA,85.91,scattered clouds,52.3168,-112.7186,Ramada by Wyndham Stettler
685,Lufilufi,WS,83.98,clear sky,-13.8745,-171.5986,Leuaina Beach Resort and Spa
687,Hami,CN,78.87,overcast clouds,42.8,93.45,Laoyutang Resort
688,Tamayo,DO,85.71,thunderstorm,18.3947,-71.2029,Hotel del Valle
693,Nhulunbuy,AU,75.81,broken clouds,-12.2333,136.7667,East Arnhem Real Estate
695,Lipari,IT,77.56,scattered clouds,38.4674,14.954,Hotel Villa Diana Soc. Clelia Hunziker s.a.s.
696,Auki,SB,80.2,broken clouds,-8.7676,160.7034,Auki Motel
697,Fukue,JP,79.57,overcast clouds,32.6881,128.8419,Goto Guesthouse Utojuku & SA Car Rental
698,Port-Gentil,GA,75.16,overcast clouds,-0.7193,8.7815,Fengshui Residence
703,Darnah,LY,79.63,clear sky,32.767,22.6367,فندق الفردوس
704,Puerto Baquerizo Moreno,EC,76.19,scattered clouds,-0.9,-89.6,Hotel los Algarrobos
705,La Macarena,CO,79.99,broken clouds,2.1837,-73.7849,Hotel Punto Verde
706,Roma,US,81.66,overcast clouds,43.2128,-75.4557,Wingate By Wyndham Rome
707,Dongsheng,CN,76.87,overcast clouds,39.8161,109.9776,Crowne Plaza Ordos
708,Phetchabun,TH,75.9,overcast clouds,16.25,101.0833,วินธนา รีสอร์ท
714,Am Timan,TD,75.09,light rain,11.0297,20.2827,Palais du chef Canton Salamt
